CustomerID,Recency,Frequency,Monetary,Cluster,Segment,Recommended_Action
CUST_12346,326,1.0,3691.7699999999995,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12347,2,182.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12348,75,31.0,1797.24,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12349,19,73.0,1757.55,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12350,310,17.0,334.4,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12352,36,85.0,2506.04,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12353,204,4.0,89.0,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12354,232,58.0,1079.4,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12355,214,13.0,459.4,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12356,23,59.0,2811.43,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12357,33,131.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12358,2,19.0,1168.06,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12359,58,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12360,52,129.0,2662.06,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12361,287,10.0,189.9,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12362,3,219.5,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12363,110,23.0,552.0,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12364,8,85.0,1313.1,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12365,291,22.0,641.38,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12367,4,11.0,168.9,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12370,51,166.0,3541.94,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12371,45,63.0,1887.96,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12372,72,52.0,1298.04,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12373,311,14.0,364.6,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12374,25,33.0,742.9300000000001,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12375,11,17.0,457.5,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12377,315,77.0,1628.12,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12378,130,219.0,3691.7699999999995,1,Best / VIP Customers,"Reward loyalty, offer early access & premium perks."
CUST_12379,82,40.0,852.24,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12380,22,104.0,2724.81,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12381,5,87.0,1845.31,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12383,185,99.0,1850.56,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12384,29,27.0,585.27,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12386,328,10.0,401.9,2,At-Risk / Lost Customers,Reactivation campaigns with discounts or reminders.
CUST_12388,16,100.0,2780.66,3,Loyal Customers,"Upsell and cross-sell, build community programs."
CUST_12390,80,32.0,549.84,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12391,22,93.0,439.66,0,Potential / Regular Customers,Send personalized offers to increase frequency.
CUST_12393,72,64.0,1582.6000000000001,3,Loyal Customers,"Upsell and cross-sell, build community programs."
